freq_hz,dbm_tx_on,dbm_tx_off
1.000000000000000000e+06,-9.281250000000000000e+01,-9.431250000000000000e+01
1.101045296167247463e+06,-9.731250000000000000e+01,-9.631250000000000000e+01
1.202090592334494693e+06,-9.581250000000000000e+01,-9.781250000000000000e+01
1.303135888501742156e+06,-9.631250000000000000e+01,-1.008125000000000000e+02
1.404181184668989619e+06,-9.481250000000000000e+01,-9.681250000000000000e+01
1.505226480836236849e+06,-9.531250000000000000e+01,-9.931250000000000000e+01
1.606271777003484312e+06,-9.631250000000000000e+01,-9.631250000000000000e+01
1.707317073170731775e+06,-9.531250000000000000e+01,-9.831250000000000000e+01
1.808362369337979238e+06,-9.634375000000000000e+01,-9.584375000000000000e+01
1.909407665505226469e+06,-9.684375000000000000e+01,-9.884375000000000000e+01
2.010452961672473932e+06,-9.734375000000000000e+01,-9.734375000000000000e+01
2.111498257839721628e+06,-9.715625000000000000e+01,-1.001561999999999983e+02
2.212543554006968625e+06,-9.765625000000000000e+01,-9.915625000000000000e+01
2.313588850174216088e+06,-9.715625000000000000e+01,-9.965625000000000000e+01
2.414634146341463551e+06,-8.765625000000000000e+01,-8.815625000000000000e+01
2.515679442508710548e+06,-8.715625000000000000e+01,-8.765625000000000000e+01
2.616724738675958477e+06,-9.715625000000000000e+01,-9.965625000000000000e+01
2.717770034843205474e+06,-9.818750000000000000e+01,-9.668750000000000000e+01
2.818815331010452937e+06,-9.768750000000000000e+01,-9.968750000000000000e+01
2.919860627177700400e+06,-9.818750000000000000e+01,-9.668750000000000000e+01
3.020905923344947863e+06,-9.768750000000000000e+01,-1.006875000000000000e+02
3.121951219512195326e+06,-9.518750000000000000e+01,-9.868750000000000000e+01
3.222996515679442789e+06,-9.668750000000000000e+01,-1.001875000000000000e+02
3.324041811846689787e+06,-9.768750000000000000e+01,-9.868750000000000000e+01
3.425087108013937250e+06,-9.968750000000000000e+01,-1.011875000000000000e+02
3.526132404181184713e+06,-9.768750000000000000e+01,-9.821875000000000000e+01
3.627177700348432176e+06,-9.771875000000000000e+01,-9.871875000000000000e+01
3.728222996515679639e+06,-9.821875000000000000e+01,-9.821875000000000000e+01
3.829268292682927102e+06,-9.721875000000000000e+01,-1.012186999999999983e+02
3.930313588850174099e+06,-9.821875000000000000e+01,-1.007186999999999983e+02
4.031358885017421562e+06,-9.821875000000000000e+01,-9.771875000000000000e+01
4.132404181184669025e+06,-9.821875000000000000e+01,-1.002186999999999983e+02
4.233449477351916954e+06,-9.921875000000000000e+01,-9.971875000000000000e+01
4.334494773519163951e+06,-9.871875000000000000e+01,-9.821875000000000000e+01
4.435540069686410949e+06,-9.725000000000000000e+01,-9.875000000000000000e+01
4.536585365853658877e+06,-9.775000000000000000e+01,-1.002500000000000000e+02
4.637630662020905875e+06,-9.375000000000000000e+01,-9.925000000000000000e+01
4.738675958188153803e+06,-9.875000000000000000e+01,-1.012500000000000000e+02
4.839721254355400801e+06,-9.925000000000000000e+01,-9.975000000000000000e+01
4.940766550522647798e+06,-9.625000000000000000e+01,-9.725000000000000000e+01
5.041811846689895727e+06,-9.775000000000000000e+01,-9.775000000000000000e+01
5.142857142857143655e+06,-9.875000000000000000e+01,-1.002500000000000000e+02
5.243902439024390653e+06,-9.828125000000000000e+01,-9.875000000000000000e+01
5.344947735191637650e+06,-9.778125000000000000e+01,-1.007811999999999983e+02
5.445993031358885579e+06,-9.778125000000000000e+01,-1.012811999999999983e+02
5.547038327526132576e+06,-9.678125000000000000e+01,-9.878125000000000000e+01
5.648083623693379574e+06,-9.678125000000000000e+01,-9.978125000000000000e+01
5.749128919860627502e+06,-9.828125000000000000e+01,-9.878125000000000000e+01
5.850174216027874500e+06,-9.428125000000000000e+01,-9.978125000000000000e+01
5.951219512195122428e+06,-9.778125000000000000e+01,-9.928125000000000000e+01
6.052264808362369426e+06,-9.428125000000000000e+01,-9.278125000000000000e+01
6.153310104529617354e+06,-9.228125000000000000e+01,-9.578125000000000000e+01
6.254355400696864352e+06,-9.531250000000000000e+01,-9.381250000000000000e+01
6.355400696864111349e+06,-9.431250000000000000e+01,-9.581250000000000000e+01
6.456445993031359278e+06,-9.031250000000000000e+01,-9.231250000000000000e+01
6.557491289198606275e+06,-8.881250000000000000e+01,-9.381250000000000000e+01
6.658536585365854204e+06,-8.481250000000000000e+01,-8.781250000000000000e+01
6.759581881533101201e+06,-8.331250000000000000e+01,-8.181250000000000000e+01
6.860627177700348198e+06,-7.581250000000000000e+01,-7.531250000000000000e+01
6.961672473867596127e+06,-5.831250000000000000e+01,-7.081250000000000000e+01
7.062717770034843124e+06,-3.684375000000000000e+01,-3.834375000000000000e+01
7.163763066202091053e+06,-7.584375000000000000e+01,-7.434375000000000000e+01
7.264808362369338050e+06,-7.884375000000000000e+01,-7.834375000000000000e+01
7.365853658536585979e+06,-8.534375000000000000e+01,-7.934375000000000000e+01
7.466898954703832977e+06,-8.734375000000000000e+01,-8.734375000000000000e+01
7.567944250871079974e+06,-9.184375000000000000e+01,-8.784375000000000000e+01
7.668989547038327903e+06,-9.184375000000000000e+01,-8.984375000000000000e+01
7.770034843205574900e+06,-9.534375000000000000e+01,-9.634375000000000000e+01
7.871080139372822829e+06,-9.284375000000000000e+01,-9.634375000000000000e+01
7.972125435540069826e+06,-9.187500000000000000e+01,-8.787500000000000000e+01
8.073170731707317755e+06,-9.337500000000000000e+01,-9.787500000000000000e+01
8.174216027874564752e+06,-9.887500000000000000e+01,-9.987500000000000000e+01
8.275261324041811749e+06,-9.587500000000000000e+01,-9.537500000000000000e+01
8.376306620209059678e+06,-9.687500000000000000e+01,-9.987500000000000000e+01
8.477351916376307607e+06,-9.937500000000000000e+01,-9.737500000000000000e+01
8.578397212543554604e+06,-9.737500000000000000e+01,-1.008750000000000000e+02
8.679442508710801601e+06,-9.887500000000000000e+01,-9.987500000000000000e+01
8.780487804878048599e+06,-9.640625000000000000e+01,-1.029061999999999983e+02
8.881533101045295596e+06,-9.840625000000000000e+01,-9.790625000000000000e+01
8.982578397212542593e+06,-1.004061999999999983e+02,-9.940625000000000000e+01
9.083623693379791453e+06,-9.990625000000000000e+01,-9.940625000000000000e+01
9.184668989547038451e+06,-9.840625000000000000e+01,-1.014061999999999983e+02
9.285714285714287311e+06,-9.840625000000000000e+01,-9.890625000000000000e+01
9.386759581881534308e+06,-9.940625000000000000e+01,-9.990625000000000000e+01
9.487804878048781306e+06,-9.340625000000000000e+01,-9.740625000000000000e+01
9.588850174216028303e+06,-9.840625000000000000e+01,-1.019061999999999983e+02
9.689895470383275300e+06,-9.443750000000000000e+01,-9.493750000000000000e+01
9.790940766550522298e+06,-9.743750000000000000e+01,-1.019375000000000000e+02
9.891986062717771158e+06,-9.993750000000000000e+01,-1.004375000000000000e+02
9.993031358885018155e+06,-9.993750000000000000e+01,-1.004375000000000000e+02
1.009407665505226515e+07,-9.093750000000000000e+01,-9.343750000000000000e+01
1.019512195121951215e+07,-9.743750000000000000e+01,-9.993750000000000000e+01
1.029616724738675915e+07,-9.943750000000000000e+01,-9.943750000000000000e+01
1.039721254355400801e+07,-9.943750000000000000e+01,-9.793750000000000000e+01
1.049825783972125500e+07,-9.693750000000000000e+01,-9.893750000000000000e+01
1.059930313588850200e+07,-9.896875000000000000e+01,-9.946875000000000000e+01
1.070034843205574900e+07,-9.996875000000000000e+01,-9.996875000000000000e+01
1.080139372822299600e+07,-9.846875000000000000e+01,-1.014686999999999983e+02
1.090243902439024486e+07,-9.996875000000000000e+01,-1.009686999999999983e+02
1.100348432055749185e+07,-9.696875000000000000e+01,-9.796875000000000000e+01
1.110452961672473885e+07,-9.996875000000000000e+01,-9.996875000000000000e+01
1.120557491289198585e+07,-9.996875000000000000e+01,-9.846875000000000000e+01
1.130662020905923471e+07,-9.996875000000000000e+01,-9.996875000000000000e+01
1.140766550522648171e+07,-9.896875000000000000e+01,-1.020000000000000000e+02
1.150871080139372870e+07,-9.550000000000000000e+01,-1.020000000000000000e+02
1.160975609756097570e+07,-9.800000000000000000e+01,-1.005000000000000000e+02
1.171080139372822270e+07,-9.850000000000000000e+01,-9.800000000000000000e+01
1.181184668989547156e+07,-9.700000000000000000e+01,-9.700000000000000000e+01
1.191289198606271856e+07,-9.650000000000000000e+01,-9.700000000000000000e+01
1.201393728222996555e+07,-9.800000000000000000e+01,-9.850000000000000000e+01
1.211498257839721255e+07,-9.700000000000000000e+01,-1.005311999999999983e+02
1.221602787456445955e+07,-9.753125000000000000e+01,-9.553125000000000000e+01
1.231707317073170841e+07,-1.000311999999999983e+02,-9.953125000000000000e+01
1.241811846689895540e+07,-9.753125000000000000e+01,-9.653125000000000000e+01
1.251916376306620240e+07,-9.753125000000000000e+01,-9.803125000000000000e+01
1.262020905923344940e+07,-9.753125000000000000e+01,-1.005311999999999983e+02
1.272125435540069640e+07,-9.853125000000000000e+01,-9.703125000000000000e+01
1.282229965156794526e+07,-9.753125000000000000e+01,-9.853125000000000000e+01
1.292334494773519225e+07,-9.753125000000000000e+01,-9.853125000000000000e+01
1.302439024390243925e+07,-9.803125000000000000e+01,-9.906250000000000000e+01
1.312543554006968625e+07,-9.703125000000000000e+01,-1.005625000000000000e+02
1.322648083623693511e+07,-9.806250000000000000e+01,-9.656250000000000000e+01
1.332752613240418211e+07,-9.856250000000000000e+01,-9.506250000000000000e+01
1.342857142857142910e+07,-9.356250000000000000e+01,-9.906250000000000000e+01
1.352961672473867610e+07,-9.806250000000000000e+01,-9.906250000000000000e+01
1.363066202090592310e+07,-9.756250000000000000e+01,-9.956250000000000000e+01
1.373170731707317196e+07,-9.706250000000000000e+01,-1.000625000000000000e+02
1.383275261324041896e+07,-9.606250000000000000e+01,-9.859375000000000000e+01
1.393379790940766595e+07,-9.806250000000000000e+01,-9.609375000000000000e+01
1.403484320557491295e+07,-9.206250000000000000e+01,-9.759375000000000000e+01
1.413588850174215995e+07,-9.659375000000000000e+01,-1.015936999999999983e+02
1.423693379790940881e+07,-1.005936999999999983e+02,-1.000936999999999983e+02
1.433797909407665581e+07,-9.859375000000000000e+01,-1.005936999999999983e+02
1.443902439024390280e+07,-9.509375000000000000e+01,-9.809375000000000000e+01
1.454006968641114980e+07,-9.509375000000000000e+01,-1.005936999999999983e+02
1.464111498257839680e+07,-9.859375000000000000e+01,-9.709375000000000000e+01
1.474216027874564566e+07,-9.459375000000000000e+01,-9.962500000000000000e+01
1.484320557491289265e+07,-9.559375000000000000e+01,-9.712500000000000000e+01
1.494425087108013965e+07,-9.162500000000000000e+01,-9.962500000000000000e+01
