freq_hz,dbm_tx_on,dbm_tx_off
6.940000000000000000e+06,-9.065625000000000000e+01,-1.066561999999999983e+02
6.940242000000000000e+06,-9.012500000000000000e+01,-1.056561999999999983e+02
6.940484000000000000e+06,-9.115625000000000000e+01,-1.061561999999999983e+02
6.940727000000000000e+06,-9.362500000000000000e+01,-1.081561999999999983e+02
6.940969000000000000e+06,-9.612500000000000000e+01,-1.096561999999999983e+02
6.941211000000000000e+06,-9.062500000000000000e+01,-1.071561999999999983e+02
6.941453000000000000e+06,-9.212500000000000000e+01,-1.051561999999999983e+02
6.941696000000000000e+06,-9.112500000000000000e+01,-1.041561999999999983e+02
6.941938000000000000e+06,-9.065625000000000000e+01,-1.106561999999999983e+02
6.942180000000000000e+06,-8.812500000000000000e+01,-1.111561999999999983e+02
6.942422000000000000e+06,-9.612500000000000000e+01,-1.081561999999999983e+02
6.942664000000000000e+06,-8.962500000000000000e+01,-1.136561999999999983e+02
6.942907000000000000e+06,-9.112500000000000000e+01,-1.066561999999999983e+02
6.943149000000000000e+06,-9.162500000000000000e+01,-1.131561999999999983e+02
6.943391000000000000e+06,-8.812500000000000000e+01,-1.101561999999999983e+02
6.943633000000000000e+06,-9.062500000000000000e+01,-1.121561999999999983e+02
6.943875000000000000e+06,-9.365625000000000000e+01,-1.116561999999999983e+02
6.944118000000000000e+06,-8.662500000000000000e+01,-1.106561999999999983e+02
6.944360000000000000e+06,-8.915625000000000000e+01,-1.081561999999999983e+02
6.944602000000000000e+06,-9.615625000000000000e+01,-1.111561999999999983e+02
6.944844000000000000e+06,-9.212500000000000000e+01,-1.076561999999999983e+02
6.945087000000000000e+06,-9.212500000000000000e+01,-1.056561999999999983e+02
6.945329000000000000e+06,-9.362500000000000000e+01,-1.081561999999999983e+02
6.945571000000000000e+06,-9.512500000000000000e+01,-1.051561999999999983e+02
6.945813000000000000e+06,-8.915625000000000000e+01,-1.076561999999999983e+02
6.946055000000000000e+06,-8.512500000000000000e+01,-1.091561999999999983e+02
6.946298000000000000e+06,-8.812500000000000000e+01,-1.091561999999999983e+02
6.946540000000000000e+06,-8.712500000000000000e+01,-1.136561999999999983e+02
6.946782000000000000e+06,-8.615625000000000000e+01,-1.056561999999999983e+02
6.947024000000000000e+06,-8.512500000000000000e+01,-1.051561999999999983e+02
